driver,team,full_throttle_pct,heavy_brake_pct,avg_corner_speed,throttle_smoothness,coast_pct,high_speed_pct,max_speed,brake_aggression,cluster,pca_x,pca_y,archetype,color
ALB,Williams,61.73599999999999,19.816,174.81,38.864,2.912,33.495999999999995,327.2,2.556,1,1.4913557190557405,-0.29190472091540154,Calculated Racers,#64C4FF
ALO,Aston Martin,61.35999999999999,15.836666666666666,169.10666666666665,39.63,4.791666666666667,25.941666666666666,321.5,2.9316666666666666,1,-0.6970098323740609,-0.8994222756945326,Calculated Racers,#229971
ANT,Mercedes,63.67,27.415,190.905,37.11,1.845,25.294999999999998,322.5,2.835,0,1.831717036198833,2.2765418602438277,Aggressive Chargers,#27F4D2
BEA,Haas F1 Team,60.245,13.665,180.01,35.83,4.05,28.115000000000002,324.0,2.725,1,1.0364728248599515,-0.8813308930258626,Calculated Racers,#B6BABD
BOR,Audi,64.39,23.895,169.265,35.495000000000005,2.525,20.585,324.5,2.145,0,1.4303573027677463,1.4293397190450061,Aggressive Chargers,#F50000
BOT,Cadillac,56.42,15.175,164.875,37.83,3.905,25.575,318.5,3.1049999999999995,3,-1.4672997650430504,-0.27225005135059294,Tire Whisperers,#333333
BOT,Kick Sauber,59.29,19.88,157.255,40.3825,3.3225,25.1775,316.0,3.105,3,-1.9401530118316062,0.5437904796486108,Tire Whisperers,#52E252
COL,Alpine,63.32,26.78,183.225,35.375,2.41,27.115000000000002,325.5,2.545,0,2.295934370834919,1.8091719395333017,Aggressive Chargers,#FF87BC
COL,Williams,69.22,14.66,186.86,37.38,1.3,45.93,348.0,2.28,1,6.471470852239987,-1.153610200153808,Calculated Racers,#64C4FF
GAS,Alpine,56.86166666666667,17.294999999999998,169.615,40.25666666666667,4.815,23.88,317.8333333333333,3.0316666666666667,3,-2.017156309465415,-0.6915486670644648,Tire Whisperers,#FF87BC
HAD,Red Bull Racing,57.105000000000004,12.485,181.475,39.79,5.805,30.905,327.5,2.215,1,0.2827353556205815,-3.2245471974068898,Calculated Racers,#3671C6
HAM,Ferrari,60.785,10.17,187.055,37.015,4.72,27.415,322.0,2.235,1,1.1738363437179624,-2.39168058337178,Calculated Racers,#E8002D
HAM,Mercedes,62.6725,17.5175,160.1525,38.322500000000005,1.56,29.014999999999997,319.75,2.8425000000000002,3,0.25520486778403584,0.7996970514206042,Tire Whisperers,#27F4D2
HUL,Audi,63.605000000000004,25.495,175.655,35.405,1.255,29.799999999999997,324.5,3.0250000000000004,0,2.0504904772395407,2.5580128943327245,Aggressive Chargers,#F50000
HUL,Haas F1 Team,61.805,18.1925,164.795,39.825,2.7199999999999998,28.195,321.75,3.3375,3,-0.522606221983058,0.6854886220826939,Tire Whisperers,#B6BABD
LAW,Racing Bulls,61.43,16.31,176.875,37.505,3.45,28.259999999999998,330.5,2.3499999999999996,1,1.5777198607240446,-0.8325485928427727,Calculated Racers,#6692FF
LEC,Ferrari,61.276666666666664,15.37,172.51666666666665,36.92333333333334,2.7733333333333334,29.445000000000004,321.0,2.9433333333333334,1,0.6636634243241112,0.056574246417004107,Calculated Racers,#E8002D
LIN,Racing Bulls,61.35,20.995,176.01,37.205,3.205,30.6,327.0,2.565,1,1.5048293477432277,0.14629164168399494,Calculated Racers,#6692FF
MAG,Haas F1 Team,58.165,20.175,159.7975,40.5075,3.2750000000000004,23.9525,318.5,3.23,3,-2.066913827981585,0.7193283867228754,Tire Whisperers,#B6BABD
NOR,McLaren,60.74333333333334,13.898333333333333,173.0716666666667,39.945,5.663333333333333,28.94666666666667,318.8333333333333,2.635,1,-0.550862189217757,-2.151079388217017,Calculated Racers,#FF8000
OCO,Alpine,56.6525,21.134999999999998,154.795,39.72,2.0300000000000002,23.822499999999998,314.25,3.49,3,-2.5918363235459707,1.817812821457519,Tire Whisperers,#FF87BC
OCO,Haas F1 Team,65.205,22.325,182.935,34.114999999999995,3.29,28.17,324.5,3.54,0,1.9599863833348905,2.015469223686469,Aggressive Chargers,#B6BABD
PER,Cadillac,58.88,12.945,170.65,38.89,2.655,24.369999999999997,324.5,2.675,1,-0.25629872500931616,-0.6165471333982088,Calculated Racers,#333333
PER,Red Bull Racing,58.86,18.225,157.9875,40.8275,3.1399999999999997,23.45,314.75,2.95,3,-2.1814448433174145,0.22658240700937668,Tire Whisperers,#3671C6
PIA,McLaren,60.080000000000005,14.476666666666667,173.29333333333332,40.07,5.705000000000001,29.446666666666662,318.5,2.5383333333333336,1,-0.5809964170576501,-2.2552327269085213,Calculated Racers,#FF8000
RIC,RB,60.932500000000005,16.59,165.9,39.95,4.092499999999999,26.8625,320.25,2.7775,1,-0.7178884472717848,-0.7250907210880863,Calculated Racers,#6692FF
RUS,Mercedes,62.873333333333335,16.046666666666667,164.46166666666667,39.04333333333334,4.0616666666666665,29.218333333333334,321.6666666666667,2.5816666666666666,1,0.17816181805224535,-0.9397342007761937,Calculated Racers,#27F4D2
SAI,Ferrari,61.8675,17.3875,157.86,37.7175,2.08,28.945,321.5,3.025,3,0.04098351611106641,0.8260255600256536,Tire Whisperers,#E8002D
SAI,Williams,56.16,27.65,176.71,39.56,4.3,21.92,336.0,3.87,3,-1.1029403335664494,2.0219281361049197,Tire Whisperers,#64C4FF
SAR,Williams,56.093333333333334,19.636666666666667,152.21333333333334,41.123333333333335,3.966666666666667,20.57,309.6666666666667,3.2133333333333334,3,-3.8572213291698136,0.4794985383256607,Tire Whisperers,#64C4FF
STR,Aston Martin,62.116,17.516,164.99,39.372,4.023999999999999,25.913999999999998,318.4,3.188,3,-0.9349088922802945,0.0825151846914745,Tire Whisperers,#229971
TSU,RB,61.9025,16.322499999999998,162.54500000000002,39.815,4.135,28.1825,318.25,2.7575,1,-0.6813968199015178,-0.7856180581560016,Calculated Racers,#6692FF
VER,Red Bull Racing,61.705999999999996,16.384,166.668,40.198,3.95,27.628000000000004,321.8,2.996,1,-0.579266502153878,-0.5276151153371865,Calculated Racers,#3671C6
ZHO,Kick Sauber,59.0175,18.435,159.43,40.275,3.3274999999999997,26.505,319.25,3.0425,3,-1.4987197094382614,0.1456918132756016,Tire Whisperers,#52E252
